siteID,date,month,year,plotID,tagID,taxonID,scientificName,taxonRank,identificationQualifier,nativeStatusCode,sex,recapture,fate,hindfootLength,earLength,tailLength,totalLength,weight,dataQF
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.R2224,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,22,16,84,NA,29,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.R1927,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,23,13,84,NA,33,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.L2217,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,21,15,5,NA,25,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.006204,MYGA,Myodes gapperi,species,NA,N,M,Y,released,13,NA,NA,NA,27,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.L2228,PELE,Peromyscus leucopus,species,cf. species,N,M,N,released,20,15,88,NA,26,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.R2211,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,21,16,70,NA,24,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.297453,MYGA,Myodes gapperi,species,NA,N,F,Y,released,20,NA,NA,NA,43,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.R2221,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,20,14,79,NA,24,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.359388,MYGA,Myodes gapperi,species,NA,N,F,Y,released,17,NA,NA,NA,31,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.L2218,MYGA,Myodes gapperi,species,NA,N,F,N,released,16,NA,NA,NA,34,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2394,MYGA,Myodes gapperi,species,NA,N,M,N,released,18,NA,NA,NA,27,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2391,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,21,16,88,NA,30,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.933355,MYGA,Myodes gapperi,species,NA,N,F,Y,released,17,NA,NA,NA,35,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.R2219,PELE,Peromyscus leucopus,species,cf. species,N,F,N,released,20,15,74,NA,25,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.220355,MYGA,Myodes gapperi,species,NA,N,F,Y,released,17,NA,NA,NA,27,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.044304,MYGA,Myodes gapperi,species,NA,N,M,Y,released,12,NA,NA,NA,30,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.L2213,MYGA,Myodes gapperi,species,NA,N,M,N,released,18,NA,NA,NA,29,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.R1775,PELE,Peromyscus leucopus,species,cf. species,N,F,Y,released,20,15,84,NA,32,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.R2198,TAST,Tamias striatus,species,NA,N,F,Y,released,34,NA,NA,NA,92,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2389,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,14,78,NA,28,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2398,PELE,Peromyscus leucopus,species,cf. species,N,F,N,released,17,12,55,NA,9,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R1475,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,16,14,78,NA,25,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R1399,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,20,14,85,NA,28,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2397,MYGA,Myodes gapperi,species,NA,N,F,N,released,17,NA,NA,NA,29,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2379,TAST,Tamias striatus,species,NA,N,M,N,released,33,NA,NA,NA,60,NA
