uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,tagID,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,bloodSampleID,bloodSampleMethod,fecalSampleID,fecalSampleCondition,earSampleID,hairSampleID,hairSampleContents,voucherSampleID,measuredBy,recordedBy,remarks
4516862d-da43-467c-9acf-c3285afa7f72,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,A2,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
fd59ad2a-9741-494a-94d6-f251fb55a858,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,A10,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,2 - trap disturbed/door closed but empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
cf5cab5d-10fb-4b36-b40e-0de23ecac593,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,H1,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
c7ba0f8e-5031-4230-83b0-575d93f8b68a,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,H2,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
f171673f-271c-484a-8c14-c875d63f6fe6,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,H3,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
3315dc66-f358-419a-a132-8ed447e6cd70,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,H4,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
d7b14972-41ca-463d-8210-39b83ddc2acc,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,H5,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
4bad2205-c64c-4e90-8356-23ec63a143af,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,H6,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
5000f794-0412-4c2f-8e30-99338328010b,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,H7,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
421be0be-37ae-4a27-ba26-a63d7519ff2a,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,J10,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
03964d1c-2c54-41c0-836c-2e1917f1f004,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,H9,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
e5d0fd08-b173-42db-84cc-a9b2c3bc1b0d,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,H8,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
95b87945-0212-4419-b9d7-7dbb9346c824,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,G1,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
0fe79387-a12a-46f5-b545-880c9c061f35,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,G2,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
ff1ba292-24d9-46a1-86eb-0a68c59bcc04,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,G5,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
a7fab922-df4d-467f-b467-4c1cb66a1ac1,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,G6,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,5 - capture,,2014-07-21,NEON.MAM.D02.O004G6,BLBR,Blarina brevicauda,species,,NEON.DOC.001908vA,N,F,N,,,adult,,enlarged,not,,12,,,,16,,,,,,,,,,,SCBI.20140721.O004G6.V,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
46000b56-6041-4771-9f01-b81766652a40,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,G3,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,3 - trap door open or closed w/ spoor left,,2014-07-21,,,,,,NEON.DOC.001908vA,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
31c4d8c6-d4b2-4b5f-9ce8-8eff1d0ce55f,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,G4,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
18931c8d-c99c-403d-9053-f8ee83a9c082,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,G9,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
caa1ce3f-c4d1-4091-9f50-3d75ff7358c3,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,G8,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,5 - capture,,2014-07-21,NEON.MAM.D02.R1114,PELE,Peromyscus leucopus,species,,NEON.DOC.001908vA,N,M,Y,,,adult,scrotal,,not,,22,,,,19,,,,,,SCBI.20140721.R1114.F,fresh,,SCBI.20140721.R1114.H,hairAndWhisker,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
dbee8d8f-3904-419b-9bb0-8ee6b52725a7,C8BBC2C9367C44FEBE9A9E4214626B80,SCBI_004.mammalGrid.mam,D02,SCBI,SCBI_004,G7,distributed,deciduousForest,38.898043,-78.145419,WGS84,45.3,307.9,0.3,6 - trap set and empty,,2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,esNjjubcI51hdInmRHEEIrFR4+oIJtuN,vG946HPdyCak4YNcquSpnhDyztG1jnbiCP4A7p87kck=,
